,Country,diaspora
0,Brazil,2000000
1,Argentina,1200000
2,Colombia,125000
3,United States,440279
4,Venezuela,340000
5,France,300000
6,Australia,340000
7,Canada,190275
8,Germany,147000
9,Saudi Arabia,120000
10,Syria,105000
11,Ecuador,100000
12,Ivory Coast,100000
13,Mexico,100000
14,Dominican Republic,80000
