TIME_PERIOD,OBS_VALUE
2024-04,7.3
2024-03,7.4
2024-02,7.4
2024-01,7.6
2024-06,7.4
2024-12,7.3
2024-11,7.3
2024-10,7.3
2024-09,7.4
2024-08,7.4
2024-07,7.4
2024-05,7.4
